gutenberg_id,selection_numbers,filename,title,author,language,original_language,bytes,characters,lines,sha256,india_relevance,perspective,author_origin,domain,quality,boilerplate_status,duplicate_status,recommendation,estimated_tokens,reason
11924,[17],11924_The_Loves_of_Krishna_in_Indian_Painting_and_Poetry.txt,The Loves of Krishna in Indian Painting and Poetry,"Archer, W. G. (William George), 1907-1979",English,UNKNOWN,358485,358378,6811,9c9b3e134e4b43f9d3fb5c957366324f2344965ba381a456ad5c3315e61b9d59,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,89594,Strong India relevance verified with 7 keyword matches.
12169,[18],12169_Sakoontala_Or_The_Lost_Ring_An_Indian_Drama.txt,"Sakoontala; Or, The Lost Ring: An Indian Drama","Kālidāsa; Monier-Williams, Monier, Sir, 1819-1899 [Translator]",English,UNKNOWN,334197,332627,9601,c981c06dc98f4753937345baaff1d1a6a907a4ba8b5320f68799448e30d83f81,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,83156,Strong India relevance verified with 7 keyword matches.
12286,[62],12286_Flowers_and_FlowerGardensWith_an_Appendix_of_Practical_Instructions_and_Useful_Information_Respectin.txt,"Flowers and Flower-Gardens
With an Appendix of Practical Instructions and Useful Information Respecting the Anglo-Indian Flower-Garden","Richardson, David Lester, 1801-1865",English,UNKNOWN,646874,646770,12847,c3a2a1b7695d5bd79a34e9554cfc8220435529e8b867af19b4c005a749c39cf1,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,161692,Moderate India relevance identified.
12617,[63],12617_Recollections_of_Calcutta_for_over_Half_a_Century.txt,Recollections of Calcutta for over Half a Century,"Massey, Montague",English,UNKNOWN,191147,191018,3637,83f61fac996c3bd21c44e7ba6d750fed919a7ffec8dc994d03567cd590d5edf8,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,47754,Moderate India relevance identified.
12956,[19],12956_A_History_of_Indian_Philosophy_Volume_1.txt,"A History of Indian Philosophy, Volume 1","Dasgupta, Surendranath, 1885-1952",English,UNKNOWN,1378893,1366961,24877,dab6389ae58141c80f42500638b11ae94379c4750e2d48b660f4d042bc35922c,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,341740,Moderate India relevance identified.
12959,[64],12959_Newton_Forster.txt,Newton Forster,"Marryat, Frederick, 1792-1848",English,UNKNOWN,805074,804847,15477,92ea91e228f31d8989dfe77a2584645cef3af3e8010e45b69a6adb99679c79d2,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,201211,No substantive India-related content detected in sample.
13539,[20],13539_Dr_Scudders_Tales_for_Little_Readers_About_the_Heathen.txt,"Dr. Scudder's Tales for Little Readers, About the Heathen.","Scudder, John, 1793-1855",English,UNKNOWN,231161,231054,4107,3fa2a74b83e6d97f73c2ea03a190c09ecabae0e3870aa99340ba27bb8ad83610,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,57763,Passing reference to India found.
1470,[1],1470_The_Fall_of_the_Moghul_Empire_of_Hindustan.txt,The Fall of the Moghul Empire of Hindustan,"Keene, H. G. (Henry George), 1825-1915",English,UNKNOWN,505604,504998,9323,83f8a9be11aa1f0966865110e1a3cdd5b934ecfc174e2bc84d8b5148a3a920f0,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,126249,Moderate India relevance identified.
17183,[65],17183_AtmA_Romance.txt,"Atmâ
A Romance","Frazer, C. A. (Caroline Augusta)",English,UNKNOWN,166131,165871,3419,49498e73d49763c46a3497dc3b9273e0d7ee62a0c7775c784b044bdbbed36c7c,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,41467,No substantive India-related content detected in sample.
17455,[66],17455_The_Poison_Tree_A_Tale_of_Hindu_Life_in_Bengal.txt,The Poison Tree: A Tale of Hindu Life in Bengal,"Cattopadhyaya, Bankimacandra, 1838-1894; Knight, Miriam S. [Translator]",English,UNKNOWN,293947,293836,6303,a2341c5a3967c55af6e42c8c81745ba9712d83a8df690f1c0fe52602c30a6166,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,73459,Moderate India relevance identified.
20479,[21],20479_Le_Rmyana__tome_premierPome_sanscrit_de_Valmiky.txt,"Le Râmâyana - tome premier
Poème sanscrit de Valmiky","Valmiki; Fauche, Hippolyte, 1797-1869 [Translator]",English,UNKNOWN,686911,663556,12336,cbb1eff23df25d94747c2a00260a7278372d26b22369f07f716c6a5ab0bfcf6b,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,165889,No substantive India-related content detected in sample.
2056,[53],2056_The_Life_of_William_Carey_Shoemaker__Missionary.txt,"The Life of William Carey, Shoemaker & Missionary","Smith, George, 1833-1919",English,UNKNOWN,869588,869333,14015,eadaf0884dcc6330a9fad43272ee478c76222776674b7fc6f2950c818d5e4466,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,217333,Moderate India relevance identified.
20583,[67],20583_The_Tribes_and_Castes_of_the_Central_Provinces_of_India_Volume_1.txt,"The Tribes and Castes of the Central Provinces of India, Volume 1","Russell, R. V. (Robert Vane), 1873-1915",English,UNKNOWN,1144007,1143861,22839,3b29b7e6955a02196ba4ab2a461979da3d94207bfa9a01b58ae017720521499c,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,285965,Strong India relevance verified with 8 keyword matches.
20640,[22],20640_Le_Rmyana__tome_secondPome_sanscrit_de_Valmiky.txt,"Le Râmâyana - tome second
Poème sanscrit de Valmiky","Valmiki; Fauche, Hippolyte, 1797-1869 [Translator]",English,UNKNOWN,611975,592714,10910,ed4a01eccb6cbcd656ccaa459fbf43faf73dbbd60b9ff691f723a1724604a008,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,148178,No substantive India-related content detected in sample.
20668,"[70, 97]",20668_The_Tribes_and_Castes_of_the_Central_Provinces_of_India_Volume_4.txt,"The Tribes and Castes of the Central Provinces of India, Volume 4","Russell, R. V. (Robert Vane), 1873-1915",English,UNKNOWN,1402522,1402393,25573,0a2429638a2e6397bb78332efce8fa79a879a7ffd96f9eda7607ec4d162f56db,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,DUPLICATE_MAPPED_70_97,KEEP,350598,Moderate India relevance identified.
20847,[23],20847_India_What_can_it_teach_usA_Course_of_Lectures_Delivered_before_the_University_Of_Cambridge.txt,"India: What can it teach us?
A Course of Lectures Delivered before the University Of Cambridge","Müller, F. Max (Friedrich Max), 1823-1900; Wilder, Alexander, 1823-1908 [Commentator]",English,UNKNOWN,550070,549965,11031,47f77e7b5285d399ce063bc13e3d03e425fcd816eadfbce3515fc377aa36edc4,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,137491,Moderate India relevance identified.
2124,[2],2124_A_Record_of_Buddhistic_KingdomsBeing_an_account_by_the_Chinese_monk_Fahsien_of_travels_in_India_and_.txt,"A Record of Buddhistic Kingdoms
Being an account by the Chinese monk Fa-hsien of travels in India and Ceylon (A.D. 399-414) in search of the Buddhist books of discipline","Faxian, 337?-422?; Legge, James, 1815-1897 [Translator]",English,UNKNOWN,315934,311855,5828,6cd2afe97685a22ce00c5245dde67d6ffee547290009bdf17b2bc0f522d1e235,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,77963,Moderate India relevance identified.
22010,[68],22010_The_Tribes_and_Castes_of_the_Central_Provinces_of_India_Volume_2.txt,"The Tribes and Castes of the Central Provinces of India, Volume 2","Russell, R. V. (Robert Vane), 1873-1915",English,UNKNOWN,1238790,1238667,22890,75f8b32599655c22944a42fb5818e0bb727b9246e4ac5a709e1ea0058e5df6f7,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,309666,Moderate India relevance identified.
22473,[71],22473_Onder_de_wilde_stammen_op_de_grenzen_van_AfghanistanDe_Aarde_en_haar_Volken_1917.txt,"Onder de wilde stammen op de grenzen van Afghanistan
De Aarde en haar Volken, 1917","Pennell, T. L. (Theodore Leighton), 1867-1912",English,UNKNOWN,194843,194538,3265,6843b16f31315b242dd6531a1d1dadc1149a8502d2881c9e4f83cd3a106053c4,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,48634,No substantive India-related content detected in sample.
23123,[72],23123_Old_Daniel.txt,Old Daniel,"Hodson, Thomas",English,UNKNOWN,116776,116672,2005,64b24b0c0b3e2f3f6f3d6fbcd8672db6f864d72d3bd3c0966da4302ab635aacd,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,29168,Passing reference to India found.
2388,[3],2388_The_Song_Celestial_Or_BhagavadGt_from_the_MahbhrataBeing_a_discourse_between_Arjuna_Prince_of_India_.txt,"The Song Celestial; Or, Bhagavad-Gîtâ (from the Mahâbhârata)
Being a discourse between Arjuna, Prince of India, and the Supreme Being under the form of Krishna","Arnold, Edwin, Sir, 1832-1904 [Translator]",English,UNKNOWN,147501,147381,3689,85b22401a9d256179f9a2e407215eb516da9b8213f23c32e03d66709d839a9e0,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,36845,Strong India relevance verified with 6 keyword matches.
24416,[73],24416_Life_and_Work_in_Benares_and_Kumaon_18391877.txt,"Life and Work in Benares and Kumaon, 1839-1877","Kennedy, James, 1815-1899",English,UNKNOWN,679065,678934,11347,1c7e13e1ab569acfe76527a3490e9812721f2bf27f25695f6047fae08fcfd319,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,169733,Moderate India relevance identified.
24461,[24],24461_Third_class_in_Indian_railways.txt,Third class in Indian railways,"Gandhi, Mahatma, 1869-1948",English,UNKNOWN,74428,74324,1315,eb3a86dead887c3d1f501c847eedb23943ca6f19800f956408713d5f7af90bbb,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,18581,Moderate India relevance identified.
24562,[74],24562_The_Panjab_NorthWest_Frontier_Province_and_Kashmir.txt,"The Panjab, North-West Frontier Province, and Kashmir","Douie, James McCrone, Sir, 1854-1935",English,UNKNOWN,564054,558044,11062,d48625966e21acf3142220623d74c7a7dbaed4a7878366a5e6299e9bc70864e0,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,139511,Moderate India relevance identified.
24869,[25],24869_The_Rmyan_of_Vlmki_translated_into_English_verse.txt,"The Rámáyan of Válmíki, translated into English verse","Valmiki; Griffith, Ralph T. H. (Ralph Thomas Hotchkin), 1826-1906 [Translator]",English,UNKNOWN,2395956,2351559,67834,4310b710a9c6942490bf8270a8a6620f314dcc2adf7b413833596ca9aaebca6f,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,587889,No substantive India-related content detected in sample.
2499,[4],2499_Siddhartha_eine_indische_Dichtung.txt,Siddhartha: eine indische Dichtung,"Hesse, Hermann, 1877-1962",English,UNKNOWN,240238,237225,4357,4abd9cdc1e98e880229eab7a4b565e8867b0438b007117780078626e8a200102,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,59306,Moderate India relevance identified.
2500,[5],2500_Siddhartha.txt,Siddhartha,"Hesse, Hermann, 1877-1962",English,UNKNOWN,242505,239817,4351,345b21d95cb61c0756d482230ae4cb8c1858a0cef1835e1ba89d18cd471343a3,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,59954,Moderate India relevance identified.
2518,[6],2518_The_Hungry_Stones_and_Other_Stories.txt,"The Hungry Stones, and Other Stories","Tagore, Rabindranath, 1861-1941",English,UNKNOWN,288301,288197,5657,b998f1c836608d9c524da499f05b0e699103f8a9d28cceb3c57b0c4211340b10,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,72049,Moderate India relevance identified.
26621,[75],26621_The_Story_of_Madras.txt,The Story of Madras,"Barlow, Glyn",English,UNKNOWN,213697,213593,4116,c8d42e460a92bc3260613424b0e734b8b6a8b8dddce84f8f6e2c52112d7e4205,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,53398,Moderate India relevance identified.
26781,[76],26781_Letters_on_the_Nicobar_islands_their_natural_productions_and_the_manners_customs_and_superstitions_o.txt,"Letters on the Nicobar islands, their natural productions, and the manners, customs, and superstitions of the natives
with an account of an attempt made by the Church of the
United Brethren, to convert them to Christianity","Haensel, Johann Gottfried; Latrobe, Christian Ignatius, 1758-1836 [Editor]",English,UNKNOWN,112919,112815,1971,dd2316d42d8d4573928f932a1840d2334037e67779bffd1846206bfe2693392f,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,28203,Passing reference to India found.
27270,[26],27270_Indias_Problem_Krishna_or_Christ.txt,"India's Problem, Krishna or Christ","Jones, John P. (John Peter), 1847-1916",English,UNKNOWN,603216,601086,10708,94eb3830f508e6006d1ece30626fa3d47246382fd65dc896190b3fb8463f8079,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,150271,Strong India relevance verified with 6 keyword matches.
28117,[77],28117_India_Its_Life_and_Thought.txt,"India, Its Life and Thought","Jones, John P. (John Peter), 1847-1916",English,UNKNOWN,547157,547053,10467,be1da72d438a4d783008c69dedfe75b132aa5abf563da2a43b471de07595f4b7,HIGH,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,136763,Strong India relevance verified with 8 keyword matches.
29426,[78],29426_Things_as_they_are.txt,Things as they are,"Carmichael, Amy, 1867-1951",English,UNKNOWN,518174,518053,9346,09b55fe9fcf737c41cfa87e41ab38d4ee3ba312a633f2b4faf7c3c2d14bbd842,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,129513,Moderate India relevance identified.
29427,[79],29427_Lotus_Buds.txt,Lotus Buds,"Carmichael, Amy, 1867-1951",English,UNKNOWN,476914,476682,8381,c24d2ebe7cefcce06993264b865b9f12905bbc0150e8c8fc1f3a0ad54ea2a905,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,119170,Passing reference to India found.
32231,[80],32231_Among_the_Wild_Tribes_of_the_Afghan_FrontierA_Record_of_Sixteen_Years_Close_Intercourse_with_the_Nat.txt,"Among the Wild Tribes of the Afghan Frontier
A Record of Sixteen Years' Close Intercourse with the Natives of the Indian Marches","Pennell, T. L. (Theodore Leighton), 1867-1912",English,UNKNOWN,607777,607482,10567,e4e0822908a3a31e36dca16fcd97ec23eac1c74331ba502c61f4910aa71137ab,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,151870,Passing reference to India found.
3310,[7],3310_A_Forgotten_Empire_Vijayanagar_A_Contribution_to_the_History_of_India.txt,A Forgotten Empire (Vijayanagar): A Contribution to the History of India,"Sewell, Robert, 1845-1925; Nunes, Fernão, active 16th century; Paes, Domingos, active 16th century",English,UNKNOWN,820054,819948,14579,0204690aff103f15b4892ad349ae0c9f4a06a0b7c657f0c2a697b10158951b7f,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,204987,Moderate India relevance identified.
33525,[27],33525_Stories_from_Tagore.txt,Stories from Tagore,"Tagore, Rabindranath, 1861-1941",English,UNKNOWN,298445,298317,6056,d0771a5490e4b54131714c4792b04800c299c747799edcf80f0d55698c4d9400,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,74579,Moderate India relevance identified.
33536,[81],33536_A_report_of_Major_Harts_case_of_ricefrauds_near_Seringapatam.txt,"A report of Major Hart's case, of rice-frauds, near Seringapatam","Inglis, W. H.",English,UNKNOWN,48295,48191,904,540ff7559121e8a2b3b21b7919b653b7fd4938560b3f3196e58d3fe21aaad875,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,12047,Passing reference to India found.
34322,[28],34322_The_Moghul.txt,The Moghul,"Hoover, Thomas, 1941-",English,UNKNOWN,1308198,1308094,26931,2af72b2013d14891674f40b0b1af18077beea508110cba0ec53cd0f6febbc636,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,327023,Moderate India relevance identified.
34493,[82],34493_Draw_Swords_In_the_Horse_Artillery.txt,Draw Swords! In the Horse Artillery,"Fenn, George Manville, 1831-1909; Groome, William H. C., 1860-1914 [Illustrator]",English,UNKNOWN,563220,563116,13313,ef1882b2ea304a608bb194f4921e73692b3572d348ca58445500713d4ed22a83,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,140779,Moderate India relevance identified.
34757,[29],34757_Mashi_and_Other_Stories.txt,"Mashi, and Other Stories","Tagore, Rabindranath, 1861-1941",English,UNKNOWN,228041,227912,4850,c8d36a4d6301194a8eb1a353ab5adc25eec20b6a2e6b818f790fa29c2f666214,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,56978,Moderate India relevance identified.
36373,[83],36373_H_P_Blavatsky_A_Great_Betrayal.txt,H. P. Blavatsky; A Great Betrayal,"Cleather, Alice Leighton, 1854-1938",English,UNKNOWN,214618,214442,3814,b272ed05cccb409334882abcaebe395ee6e8b570762661c224bab29d6e9a0b35,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,53610,Moderate India relevance identified.
36545,[84],36545_In_the_Andamans_and_Nicobars_The_Narrative_of_a_Cruise_in_the_Schooner_Terrapin.txt,"In the Andamans and Nicobars: The Narrative of a Cruise in the Schooner ""Terrapin""","Kloss, C. Boden (Cecil Boden), 1877-",English,UNKNOWN,843085,842404,16893,30b147bf03e5c41aa654a024c87bc08d5a1a971a3c823a78e813684fd1e3abd6,NONE,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REJECT,210601,No substantive India-related content detected in sample.
36696,[85],36696_Old_Deccan_Days_or_Hindoo_Fairy_Legends_Current_in_Southern_India.txt,"Old Deccan Days; or, Hindoo Fairy Legends Current in Southern India","Frere, Mary, 1845-1911 [Compiler]; Frere, Bartle, 1815-1884 [Contributor]",English,UNKNOWN,582771,582664,10357,9a6a359848b1c773cc0e511ec2139114c57a31b02b91e35c14b798ee25a422a1,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,145666,Passing reference to India found.
36703,[86],36703_A_Bayard_From_BengalBeing_some_account_of_the_Magnificent_and_Spanking_Career_of_Chunder_Bindabun_Bh.txt,"A Bayard From Bengal
Being some account of the Magnificent and Spanking Career of Chunder Bindabun Bhosh,...","Anstey, F., 1856-1934; Partridge, Bernard, 1861-1945 [Illustrator]",English,UNKNOWN,151370,151251,3288,88e8dcc32490deefdbffb7cdea6d6437d6270f55f0be24bbbe52d70ac34aceff,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,37812,Moderate India relevance identified.
36939,[87],36939_Free_Trade_with_IndiaAn_Enquiry_into_the_True_State_of_the_Question_at_Issue_Between_His_Majestys_Mi.txt,"Free Trade with India
An Enquiry into the True State of the Question at Issue Between His Majesty's Ministers, the Honorable the East India Company, and the Public at Large, on the Justice and Policy of a Free Trade to India","Common sense (Writer), active 1813",English,UNKNOWN,46284,46180,926,5bd80493d1a44a27a07b2221628c47aa9984898f31e3c590c8ad9305b541ec66,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,11545,Passing reference to India found.
37000,[88],37000_The_Proper_Limits_of_the_Governments_Interference_with_the_Affairs_of_the_EastIndia_CompanyAttempted.txt,"The Proper Limits of the Government's Interference with the Affairs of the East-India Company
Attempted to be Assigned with some few Reflections Extorted by, and on, the Distracted State of the Times","Stair, John Dalrymple, Earl of, 1720-1789",English,UNKNOWN,41274,41168,775,1e11549c96234adb4e90c310ba103a57c8e309de90528f290982ff96c7d6485f,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,10292,Passing reference to India found.
37048,[89],37048_A_Caution_to_the_Directors_of_the_EastIndia_CompanyWith_Regard_to_Their_Making_the_Midsummer_Dividen.txt,"A Caution to the Directors of the East-India Company
With Regard to Their Making the Midsummer Dividend of Five Per Cent. Without Due Attention to a Late Act of Parliament, and a By-law of Their Own",Anonymous,English,UNKNOWN,61427,61323,1102,6844715c1484f7711e6462b829679a376aa8011236da56f13b4fd1ecee9674a5,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,15330,Passing reference to India found.
37082,[90],37082_A_Short_View_of_the_Laws_Now_Subsisting_with_Respect_to_the_Powers_of_the_East_India_CompanyTo_Borro.txt,"A Short View of the Laws Now Subsisting with Respect to the Powers of the East India Company
To Borrow Money under their Seal, and to Incur Debts in the Course of their Trade, by the Purchase of Goods on Credit, and by Freighting Ships or other Mercantile Transactions","Pulteney, William, 1729-1805; Stewart, John, 1749-1822",English,UNKNOWN,57061,56944,1064,eab5c48a34db766c13f52184b3699eb20b229eca4bb9ed65dc06b3ddac057806,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,14236,Passing reference to India found.
37722,[91],37722_The_Hindoos_as_They_AreA_Description_of_the_Manners_Customs_and_the_Inner_Life_of_Hindoo_Society_in_.txt,"The Hindoos as They Are
A Description of the Manners, Customs and the Inner Life of Hindoo Society in Bengal",Sivachandra Vasu,English,UNKNOWN,665295,664836,10640,c083bc01dba0b9027235fcb98117ace42ab2ca152f1496ca38552fb8131ec9f9,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,166209,Moderate India relevance identified.
38488,[92],38488_FolkTales_of_Bengal.txt,Folk-Tales of Bengal,"Day, Lal Behari, 1826-1894; Goble, Warwick, 1862-1943 [Illustrator]",English,UNKNOWN,426229,426115,7114,bb050c97a53dfc42afece4cf4c2a3799d1ecf15cfd0e2752c87419b5df1eac9e,MEDIUM,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,KEEP,106528,Moderate India relevance identified.
38881,[93],38881_In_Kalis_Country_Tales_from_Sunny_India.txt,In Kali's Country: Tales from Sunny India,"Sheets, Emily Churchill Thompson, 1875-; Childs, Elma McNeal [Illustrator]",English,UNKNOWN,288963,288857,5799,32bc52f3c1d898f356e9690297b22c127680c4f0d89c09b02ef701dd53733a7c,LOW,E,UNKNOWN,UNCERTAIN,MEDIUM,OK,LEGITIMATE,REVIEW,72214,Passing reference to India found.
